"","x","y","color","pendown","type"
"124","123","-0.15949292","15","TRUE","reds"
"125","124","-0.07545459","15","TRUE","reds"
"126","125","-0.130907355","15","TRUE","reds"
"127","126","0.024839459","15","TRUE","reds"
"128","127","-0.056624953","15","TRUE","reds"
"129","128","-0.088053237","15","TRUE","reds"
"130","129","-0.389838772","15","TRUE","reds"
"131","130","-0.445429286","15","TRUE","reds"
"132","131","-0.544309935","15","TRUE","reds"
"133","132","-0.867924012","15","TRUE","reds"
"134","133","-0.864042024","15","TRUE","reds"
"135","134","-0.562217335","15","TRUE","reds"
"136","135","-0.472362728","15","TRUE","reds"
"137","136","-0.902550156","15","TRUE","reds"
"138","137","-0.826052591","15","TRUE","reds"
"139","138","-1.161384343","15","TRUE","reds"
"140","139","-0.739588651","15","TRUE","reds"
"141","140","-0.988239837","15","TRUE","reds"
"142","141","-0.89373681","15","TRUE","reds"
"143","142","-0.877325539","15","TRUE","reds"
"144","143","-0.698090982","15","TRUE","reds"
"145","144","-0.712117162","15","TRUE","reds"
"146","145","-1.048037631","15","TRUE","reds"
"147","146","-1.062885872","15","TRUE","reds"
"148","147","-0.866461528","15","TRUE","reds"
"149","148","-0.855776138","15","TRUE","reds"
"150","149","-0.670149095","15","TRUE","reds"
"151","150","-0.469704214","15","TRUE","reds"
"152","151","-0.739097376","15","TRUE","reds"
"153","152","-0.600261814","15","TRUE","reds"
"154","153","-0.47051207","15","TRUE","reds"
"155","154","-0.390404871","15","TRUE","reds"
"156","155","-0.61101868","15","TRUE","reds"
"157","156","-0.670271741","15","TRUE","reds"
"158","157","-0.982316739","15","TRUE","reds"
"159","158","-0.758437356","15","TRUE","reds"
"160","159","-1.043860827","15","TRUE","reds"
"161","160","-1.300823258","15","TRUE","reds"
"162","161","-1.421307803","15","TRUE","reds"
"163","162","-1.379606978","15","TRUE","reds"
"164","163","-1.119196605","15","TRUE","reds"
"165","164","-0.991177385","15","TRUE","reds"
"166","165","-0.413311866","15","TRUE","reds"
"167","166","-0.544436646","15","TRUE","reds"
"168","167","0.319336818","15","TRUE","reds"
"169","168","-0.330219686","15","TRUE","reds"
"170","0","-2.151533152","135","TRUE","red.activs"
"171","1","-0.428130338","135","TRUE","red.activs"
"172","2","-3.222841428","135","TRUE","red.activs"
"173","3","-2.860220004","135","TRUE","red.activs"
"174","4","-0.905748003","135","TRUE","red.activs"
"175","5","-1.664451313","135","TRUE","red.activs"
"176","6","-1.600783671","135","TRUE","red.activs"
"177","7","-0.90480567","135","TRUE","red.activs"
"178","8","-2.448939473","135","TRUE","red.activs"
"179","9","-2.54036117","135","TRUE","red.activs"
"180","10","-1.316463579","135","TRUE","red.activs"
"181","11","-0.869882056","135","TRUE","red.activs"
"182","12","-3.818581184","135","TRUE","red.activs"
"183","13","-2.897361179","135","TRUE","red.activs"
"184","14","-3.245043441","135","TRUE","red.activs"
"185","15","-1.920817332","135","TRUE","red.activs"
"186","16","-3.726609167","135","TRUE","red.activs"
"187","17","-4.679716105","135","TRUE","red.activs"
"188","18","-4.137390736","135","TRUE","red.activs"
"189","19","-3.175826603","135","TRUE","red.activs"
"190","20","-1.163284795","135","TRUE","red.activs"
"191","21","-1.597551165","135","TRUE","red.activs"
"192","22","0.193454449","135","TRUE","red.activs"
"193","23","-1.849306165","135","TRUE","red.activs"
"194","24","-0.336910878","135","TRUE","red.activs"
"195","25","0.803868608","135","TRUE","red.activs"
"196","26","-0.364607563","135","TRUE","red.activs"
"197","27","-0.718182707","135","TRUE","red.activs"
"198","28","0.422769758","135","TRUE","red.activs"
"199","29","-0.668090543","135","TRUE","red.activs"
"200","30","0.395760892","135","TRUE","red.activs"
"201","31","0.613670556","135","TRUE","red.activs"
"202","32","0.111790393","135","TRUE","red.activs"
"203","33","-0.186662003","135","TRUE","red.activs"
"204","34","0.200069071","135","TRUE","red.activs"
"205","35","-0.156282582","135","TRUE","red.activs"
"206","36","0.707764228","135","TRUE","red.activs"
"207","37","0.228960899","135","TRUE","red.activs"
"208","38","0.093655447","135","TRUE","red.activs"
"209","39","-0.53467968","135","TRUE","red.activs"
"210","40","-0.115176865","135","TRUE","red.activs"
"211","41","-0.473301424","135","TRUE","red.activs"
"212","42","0.565228664","135","TRUE","red.activs"
"213","43","0.516425478","135","TRUE","red.activs"
"214","44","-0.423147191","135","TRUE","red.activs"
"215","45","0.897537124","135","TRUE","red.activs"
"216","46","0.890992912","135","TRUE","red.activs"
"217","47","0.129834677","135","TRUE","red.activs"
"218","48","0.312714104","135","TRUE","red.activs"
"219","49","0.101172244","135","TRUE","red.activs"
"220","50","0.514690053","135","TRUE","red.activs"
"221","51","-0.176426296","135","TRUE","red.activs"
"222","52","0.24282179","135","TRUE","red.activs"
"223","53","0.12498177","135","TRUE","red.activs"
"224","54","-0.040110895","135","TRUE","red.activs"
"225","55","0.482614322","135","TRUE","red.activs"
"226","56","-0.238996478","135","TRUE","red.activs"
"227","57","0.296931407","135","TRUE","red.activs"
"228","58","0.430886082","135","TRUE","red.activs"
"229","59","0.655634605","135","TRUE","red.activs"
"230","60","-0.15374109","135","TRUE","red.activs"
"231","61","0.60110897","135","TRUE","red.activs"
"232","62","0.586538508","135","TRUE","red.activs"
"233","63","-0.230977953","135","TRUE","red.activs"
"234","64","0.082320235","135","TRUE","red.activs"
"235","65","0.418724716","135","TRUE","red.activs"
"236","66","0.220328266","135","TRUE","red.activs"
"237","67","-0.348133965","135","TRUE","red.activs"
"238","68","-0.133434803","135","TRUE","red.activs"
"239","69","0.320015476","135","TRUE","red.activs"
"240","70","0.285731991","135","TRUE","red.activs"
"241","71","0.571149289","135","TRUE","red.activs"
"242","72","-0.352231229","135","TRUE","red.activs"
"243","73","0.111345682","135","TRUE","red.activs"
"244","74","-0.055357593","135","TRUE","red.activs"
"245","75","0.480918273","135","TRUE","red.activs"
"246","76","0.129586414","135","TRUE","red.activs"
"247","77","0.375220704","135","TRUE","red.activs"
"248","78","0.021666542","135","TRUE","red.activs"
"249","79","-0.311438839","135","TRUE","red.activs"
"250","80","0.055882952","135","TRUE","red.activs"
"251","81","0.085518465","135","TRUE","red.activs"
"252","82","-0.01936693","135","TRUE","red.activs"
"253","83","0.280198858","135","TRUE","red.activs"
"254","84","-0.498679799","135","TRUE","red.activs"
"255","85","-0.095220525","135","TRUE","red.activs"
"256","86","0.02836805","135","TRUE","red.activs"
"257","87","-0.956399314","135","TRUE","red.activs"
"258","88","-0.683122796","135","TRUE","red.activs"
"259","89","0.118677181","135","TRUE","red.activs"
"260","90","0.069661675","135","TRUE","red.activs"
"261","91","-0.036793654","135","TRUE","red.activs"
"262","92","-0.567364253","135","TRUE","red.activs"
"263","93","-0.660101404","135","TRUE","red.activs"
"264","94","-0.245682234","135","TRUE","red.activs"
"265","95","-0.272066814","135","TRUE","red.activs"
"266","96","-0.237247695","135","TRUE","red.activs"
"267","97","-0.077260175","135","TRUE","red.activs"
"268","98","-0.046767494","135","TRUE","red.activs"
"269","99","-0.621385348","135","TRUE","red.activs"
"270","100","0.059901287","135","TRUE","red.activs"
"271","101","-0.183379489","135","TRUE","red.activs"
"272","102","0.129171499","135","TRUE","red.activs"
"273","103","-0.466863305","135","TRUE","red.activs"
"274","104","-0.237688966","135","TRUE","red.activs"
"275","105","0.045420152","135","TRUE","red.activs"
"276","106","-0.143713124","135","TRUE","red.activs"
"277","107","0.019807371","135","TRUE","red.activs"
"278","108","-0.036769471","135","TRUE","red.activs"
"279","109","0.005125742","135","TRUE","red.activs"
"280","110","-0.316973294","135","TRUE","red.activs"
"281","111","0.127953616","135","TRUE","red.activs"
"282","112","0.026383319","135","TRUE","red.activs"
"283","113","0.167553046","135","TRUE","red.activs"
"284","114","-0.138423893","135","TRUE","red.activs"
"285","115","-0.204779127","135","TRUE","red.activs"
"286","116","0.342497999","135","TRUE","red.activs"
"287","117","0.060035634","135","TRUE","red.activs"
"288","118","0.305562806","135","TRUE","red.activs"
"289","119","0.279191971","135","TRUE","red.activs"
"290","120","-0.266907482","135","TRUE","red.activs"
"291","121","-0.02021287","135","TRUE","red.activs"
"292","122","-0.237333825","135","TRUE","red.activs"
"293","123","0.418208073","135","TRUE","red.activs"
"294","124","-0.635804266","135","TRUE","red.activs"
"295","125","-0.209921936","135","TRUE","red.activs"
"296","126","-0.111236803","135","TRUE","red.activs"
"297","127","-0.285524529","135","TRUE","red.activs"
"298","128","0.308447953","135","TRUE","red.activs"
"299","129","0.060443662","135","TRUE","red.activs"
"300","130","-0.171584612","135","TRUE","red.activs"
"301","131","-0.557027788","135","TRUE","red.activs"
