"","x","y","color","pendown","type"
"1","0","-0.265329506","15","TRUE","reds"
"2","1","-0.390298357","15","TRUE","reds"
"3","2","-0.401680084","15","TRUE","reds"
"4","3","-0.483934382","15","TRUE","reds"
"5","4","-0.833429109","15","TRUE","reds"
"6","5","-0.938824172","15","TRUE","reds"
"7","6","-1.474485846","15","TRUE","reds"
"8","7","-1.682009564","15","TRUE","reds"
"9","8","-1.644216124","15","TRUE","reds"
"10","9","-1.293942773","15","TRUE","reds"
"11","10","-1.968712392","15","TRUE","reds"
"12","11","-1.939918285","15","TRUE","reds"
"13","12","-1.522160682","15","TRUE","reds"
"14","13","-1.225414106","15","TRUE","reds"
"15","14","-1.52179642","15","TRUE","reds"
"16","15","-1.320994233","15","TRUE","reds"
"17","16","-1.629443569","15","TRUE","reds"
"18","17","-0.820955105","15","TRUE","reds"
"19","18","-1.011623834","15","TRUE","reds"
"20","19","-0.864019723","15","TRUE","reds"
"21","20","-0.876615156","15","TRUE","reds"
"22","21","-0.75869786","15","TRUE","reds"
"23","22","-1.407104696","15","TRUE","reds"
"24","23","-1.263302443","15","TRUE","reds"
"25","24","-1.348116373","15","TRUE","reds"
"26","25","-2.141515061","15","TRUE","reds"
"27","26","-2.086523202","15","TRUE","reds"
"28","27","-1.805076164","15","TRUE","reds"
"29","28","-1.887578933","15","TRUE","reds"
"30","29","-2.434866964","15","TRUE","reds"
"31","30","-2.735848984","15","TRUE","reds"
"32","31","-2.878869359","15","TRUE","reds"
"33","32","-2.848509106","15","TRUE","reds"
"34","33","-3.053032306","15","TRUE","reds"
"35","34","-2.91628577","15","TRUE","reds"
"36","35","-3.312923204","15","TRUE","reds"
"37","36","-3.452494574","15","TRUE","reds"
"38","37","-3.682853455","15","TRUE","reds"
"39","38","-3.428084185","15","TRUE","reds"
"40","39","-3.428467536","15","TRUE","reds"
"41","40","-4.284157281","15","TRUE","reds"
"42","41","-4.260949424","15","TRUE","reds"
"43","42","-4.004950859","15","TRUE","reds"
"44","43","-4.036651509","15","TRUE","reds"
"45","44","-4.224133248","15","TRUE","reds"
"46","45","-4.376128079","15","TRUE","reds"
"47","46","-4.82494021","15","TRUE","reds"
"48","47","-4.749510331","15","TRUE","reds"
"49","48","-4.52747817","15","TRUE","reds"
"50","49","-4.663313687","15","TRUE","reds"
"51","50","-4.443224612","15","TRUE","reds"
"52","51","-4.20082911","15","TRUE","reds"
"53","52","-4.513260773","15","TRUE","reds"
"54","53","-3.553575916","15","TRUE","reds"
"55","54","-4.227479048","15","TRUE","reds"
"56","55","-4.210143493","15","TRUE","reds"
"57","56","-4.224423963","15","TRUE","reds"
"58","57","-4.471552007","15","TRUE","reds"
"59","58","-4.571563552","15","TRUE","reds"
"60","59","-4.647940638","15","TRUE","reds"
"61","60","-5.027402492","15","TRUE","reds"
"62","61","-5.787869197","15","TRUE","reds"
"63","62","-5.416722884","15","TRUE","reds"
"64","63","-5.70761679","15","TRUE","reds"
"65","64","-6.045001075","15","TRUE","reds"
"66","65","-6.368663763","15","TRUE","reds"
"67","66","-6.553132073","15","TRUE","reds"
"68","67","-6.627692442","15","TRUE","reds"
"69","68","-6.399044093","15","TRUE","reds"
"70","69","-6.914358439","15","TRUE","reds"
"71","70","-7.115021731","15","TRUE","reds"
"72","71","-6.659253005","15","TRUE","reds"
"73","72","-6.847101287","15","TRUE","reds"
"74","73","-6.793732136","15","TRUE","reds"
"75","74","-7.400513065","15","TRUE","reds"
"76","75","-7.495567589","15","TRUE","reds"
"77","76","-7.417014914","15","TRUE","reds"
"78","77","-7.153788948","15","TRUE","reds"
"79","78","-7.421412523","15","TRUE","reds"
"80","79","-7.356191301","15","TRUE","reds"
"81","80","-7.285488215","15","TRUE","reds"
"82","81","-6.774425616","15","TRUE","reds"
"83","82","-7.026902607","15","TRUE","reds"
"84","83","-7.360306983","15","TRUE","reds"
"85","84","-7.249224345","15","TRUE","reds"
"86","85","-7.181527346","15","TRUE","reds"
"87","86","-7.122109026","15","TRUE","reds"
"88","87","-6.981841609","15","TRUE","reds"
"89","88","-7.014610876","15","TRUE","reds"
"90","89","-6.832436843","15","TRUE","reds"
"91","90","-6.355361843","15","TRUE","reds"
"92","91","-6.296084738","15","TRUE","reds"
"93","92","-7.26460088","15","TRUE","reds"
"94","93","-6.966765162","15","TRUE","reds"
"95","94","-7.069468734","15","TRUE","reds"
"96","95","-7.808117788","15","TRUE","reds"
"97","96","-7.706240752","15","TRUE","reds"
"98","97","-7.345412628","15","TRUE","reds"
"99","98","-7.361735677","15","TRUE","reds"
"100","99","-7.142214533","15","TRUE","reds"
"101","100","-7.448877339","15","TRUE","reds"
"102","101","-7.407313098","15","TRUE","reds"
