"","x","y","color","pendown","type"
"1","0","-0.179961952","15","TRUE","reds"
"2","1","-0.062023496","15","TRUE","reds"
"3","2","-0.216603094","15","TRUE","reds"
"4","3","-0.364742366","15","TRUE","reds"
"5","4","-0.080943472","15","TRUE","reds"
"6","5","0.318627149","15","TRUE","reds"
"7","6","-0.813596805","15","TRUE","reds"
"8","7","-1.249101385","15","TRUE","reds"
"9","8","-0.929473205","15","TRUE","reds"
"10","9","-0.840117992","15","TRUE","reds"
"11","10","-0.426801709","15","TRUE","reds"
"12","11","0.047516305","15","TRUE","reds"
"13","12","-0.373808558","15","TRUE","reds"
"14","13","0.047268147","15","TRUE","reds"
"15","14","0.383197097","15","TRUE","reds"
"16","15","0.224846532","15","TRUE","reds"
"17","16","0.115193326","15","TRUE","reds"
"18","17","0.094378619","15","TRUE","reds"
"19","18","0.177193421","15","TRUE","reds"
"20","19","-0.359826708","15","TRUE","reds"
"21","20","0.068265692","15","TRUE","reds"
"22","21","0.176346657","15","TRUE","reds"
"23","22","-0.023370692","15","TRUE","reds"
"24","23","-0.249159063","15","TRUE","reds"
"25","24","-0.258580819","15","TRUE","reds"
"26","25","-0.187070808","15","TRUE","reds"
"27","26","0.036537304","15","TRUE","reds"
"28","27","-0.546100997","15","TRUE","reds"
"29","28","-0.26006215","15","TRUE","reds"
"30","29","-0.147946828","15","TRUE","reds"
"31","30","0.513587746","15","TRUE","reds"
"32","31","0.213628453","15","TRUE","reds"
"33","32","-0.013061856","15","TRUE","reds"
"34","33","0.126832691","15","TRUE","reds"
"35","34","0.092006629","15","TRUE","reds"
"36","35","-0.315926","15","TRUE","reds"
"37","36","-0.230776784","15","TRUE","reds"
"38","37","-0.095863391","15","TRUE","reds"
"39","38","-0.122640715","15","TRUE","reds"
"40","39","-0.465558424","15","TRUE","reds"
"41","40","-0.55933944","15","TRUE","reds"
"42","41","-0.438099277","15","TRUE","reds"
"43","42","-0.545493597","15","TRUE","reds"
"44","43","-0.150370225","15","TRUE","reds"
"45","44","0.0328615","15","TRUE","reds"
"46","45","0.096228135","15","TRUE","reds"
"47","46","0.274584335","15","TRUE","reds"
"48","47","-0.018225171","15","TRUE","reds"
"49","48","-0.168114516","15","TRUE","reds"
"50","49","-0.121854512","15","TRUE","reds"
"51","50","-0.18950421","15","TRUE","reds"
"52","51","0.11880697","15","TRUE","reds"
"53","52","-0.073535985","15","TRUE","reds"
"54","53","0.690646629","15","TRUE","reds"
"55","54","0.44163942","15","TRUE","reds"
"56","55","0.628252458","15","TRUE","reds"
"57","56","0.537352999","15","TRUE","reds"
"58","57","0.635868965","15","TRUE","reds"
"59","58","0.518790789","15","TRUE","reds"
"60","59","0.441437258","15","TRUE","reds"
"61","60","0.665045783","15","TRUE","reds"
"62","61","0.978611329","15","TRUE","reds"
"63","62","1.142963218","15","TRUE","reds"
"64","63","1.125716559","15","TRUE","reds"
"65","64","1.119341634","15","TRUE","reds"
"66","65","1.280181722","15","TRUE","reds"
"67","66","1.079984355","15","TRUE","reds"
"68","67","1.045268692","15","TRUE","reds"
"69","68","1.040505911","15","TRUE","reds"
"70","69","0.931617805","15","TRUE","reds"
"71","70","1.140364158","15","TRUE","reds"
"72","71","1.103742255","15","TRUE","reds"
"73","72","1.000188311","15","TRUE","reds"
"74","73","0.745936217","15","TRUE","reds"
"75","74","0.941354343","15","TRUE","reds"
"76","75","0.798631648","15","TRUE","reds"
"77","76","1.02711593","15","TRUE","reds"
"78","77","0.98144084","15","TRUE","reds"
"79","78","0.723551558","15","TRUE","reds"
"80","79","0.673511698","15","TRUE","reds"
"81","80","0.514237519","15","TRUE","reds"
"82","81","0.691114499","15","TRUE","reds"
"83","82","0.765707255","15","TRUE","reds"
"84","83","0.752271115","15","TRUE","reds"
"85","84","0.981442494","15","TRUE","reds"
"86","85","0.989911505","15","TRUE","reds"
