"","x","y","color","pen down?","type"
"117","116","48.07692308","95","TRUE","blue.p"
"118","117","49.51923077","95","TRUE","blue.p"
"119","118","46.15384615","95","TRUE","blue.p"
"120","119","48.07692308","95","TRUE","blue.p"
"121","120","46.63461538","95","TRUE","blue.p"
"122","121","45.67307692","95","TRUE","blue.p"
"123","122","48.07692308","95","TRUE","blue.p"
"124","123","54.32692308","95","TRUE","blue.p"
"125","124","48.07692308","95","TRUE","blue.p"
"126","125","50","95","TRUE","blue.p"
"127","126","45.19230769","95","TRUE","blue.p"
"128","127","48.55769231","95","TRUE","blue.p"
"129","128","53.36538462","95","TRUE","blue.p"
"130","129","53.36538462","95","TRUE","blue.p"
"131","130","54.80769231","95","TRUE","blue.p"
"132","131","56.25","95","TRUE","blue.p"
"133","132","54.32692308","95","TRUE","blue.p"
"134","133","50","95","TRUE","blue.p"
"135","134","56.73076923","95","TRUE","blue.p"
"136","135","49.03846154","95","TRUE","blue.p"
"137","136","50.96153846","95","TRUE","blue.p"
"138","137","54.32692308","95","TRUE","blue.p"
"139","138","55.28846154","95","TRUE","blue.p"
"140","139","53.36538462","95","TRUE","blue.p"
"141","140","55.28846154","95","TRUE","blue.p"
"142","141","50","95","TRUE","blue.p"
"143","142","53.84615385","95","TRUE","blue.p"
"144","143","54.80769231","95","TRUE","blue.p"
"145","144","47.59615385","95","TRUE","blue.p"
"146","145","56.25","95","TRUE","blue.p"
"147","146","48.07692308","95","TRUE","blue.p"
"148","147","49.03846154","95","TRUE","blue.p"
"149","148","46.15384615","95","TRUE","blue.p"
"150","149","51.44230769","95","TRUE","blue.p"
"151","150","50.48076923","95","TRUE","blue.p"
"152","151","50.48076923","95","TRUE","blue.p"
"153","152","44.23076923","95","TRUE","blue.p"
"154","153","46.15384615","95","TRUE","blue.p"
"155","154","53.84615385","95","TRUE","blue.p"
"156","155","46.15384615","95","TRUE","blue.p"
"157","156","47.11538462","95","TRUE","blue.p"
"158","157","47.11538462","95","TRUE","blue.p"
"159","158","49.03846154","95","TRUE","blue.p"
"160","159","49.03846154","95","TRUE","blue.p"
"161","160","36.53846154","95","TRUE","blue.p"
"162","161","46.15384615","95","TRUE","blue.p"
"163","162","39.90384615","95","TRUE","blue.p"
"164","163","43.26923077","95","TRUE","blue.p"
"165","164","44.23076923","95","TRUE","blue.p"
"166","165","50.48076923","95","TRUE","blue.p"
"167","166","49.03846154","95","TRUE","blue.p"
"168","167","42.30769231","95","TRUE","blue.p"
"169","168","39.90384615","95","TRUE","blue.p"
"170","0","44.23076923","15","TRUE","red.p"
"171","1","48.07692308","15","TRUE","red.p"
"172","2","45.67307692","15","TRUE","red.p"
"173","3","42.78846154","15","TRUE","red.p"
"174","4","42.78846154","15","TRUE","red.p"
"175","5","41.34615385","15","TRUE","red.p"
"176","6","41.82692308","15","TRUE","red.p"
"177","7","46.15384615","15","TRUE","red.p"
"178","8","46.15384615","15","TRUE","red.p"
"179","9","46.15384615","15","TRUE","red.p"
"180","10","48.55769231","15","TRUE","red.p"
"181","11","44.23076923","15","TRUE","red.p"
"182","12","39.42307692","15","TRUE","red.p"
"183","13","42.78846154","15","TRUE","red.p"
"184","14","46.63461538","15","TRUE","red.p"
"185","15","42.78846154","15","TRUE","red.p"
"186","16","49.03846154","15","TRUE","red.p"
"187","17","44.71153846","15","TRUE","red.p"
"188","18","46.63461538","15","TRUE","red.p"
"189","19","46.15384615","15","TRUE","red.p"
"190","20","44.23076923","15","TRUE","red.p"
"191","21","45.19230769","15","TRUE","red.p"
"192","22","48.07692308","15","TRUE","red.p"
"193","23","46.15384615","15","TRUE","red.p"
"194","24","45.19230769","15","TRUE","red.p"
"195","25","44.71153846","15","TRUE","red.p"
"196","26","45.19230769","15","TRUE","red.p"
"197","27","50","15","TRUE","red.p"
"198","28","46.63461538","15","TRUE","red.p"
"199","29","49.51923077","15","TRUE","red.p"
"200","30","44.71153846","15","TRUE","red.p"
"201","31","48.55769231","15","TRUE","red.p"
"202","32","45.67307692","15","TRUE","red.p"
"203","33","45.67307692","15","TRUE","red.p"
"204","34","48.55769231","15","TRUE","red.p"
"205","35","45.19230769","15","TRUE","red.p"
"206","36","48.07692308","15","TRUE","red.p"
"207","37","44.23076923","15","TRUE","red.p"
"208","38","50.96153846","15","TRUE","red.p"
"209","39","38.46153846","15","TRUE","red.p"
"210","40","50.96153846","15","TRUE","red.p"
"211","41","45.67307692","15","TRUE","red.p"
"212","42","49.51923077","15","TRUE","red.p"
"213","43","45.19230769","15","TRUE","red.p"
"214","44","46.15384615","15","TRUE","red.p"
"215","45","45.19230769","15","TRUE","red.p"
"216","46","45.67307692","15","TRUE","red.p"
"217","47","45.19230769","15","TRUE","red.p"
"218","48","44.71153846","15","TRUE","red.p"
"219","49","45.67307692","15","TRUE","red.p"
"220","50","44.71153846","15","TRUE","red.p"
"221","51","45.19230769","15","TRUE","red.p"
"222","52","46.15384615","15","TRUE","red.p"
"223","53","51.44230769","15","TRUE","red.p"
"224","54","49.03846154","15","TRUE","red.p"
"225","55","50","15","TRUE","red.p"
"226","56","46.63461538","15","TRUE","red.p"
"227","57","48.55769231","15","TRUE","red.p"
"228","58","47.59615385","15","TRUE","red.p"
"229","59","50","15","TRUE","red.p"
"230","60","50.48076923","15","TRUE","red.p"
"231","61","46.15384615","15","TRUE","red.p"
"232","62","45.67307692","15","TRUE","red.p"
"233","63","46.63461538","15","TRUE","red.p"
"234","64","47.59615385","15","TRUE","red.p"
"235","65","44.71153846","15","TRUE","red.p"
"236","66","42.78846154","15","TRUE","red.p"
"237","67","41.34615385","15","TRUE","red.p"
"238","68","47.59615385","15","TRUE","red.p"
"239","69","54.80769231","15","TRUE","red.p"
"240","70","50.48076923","15","TRUE","red.p"
"241","71","48.55769231","15","TRUE","red.p"
"242","72","47.59615385","15","TRUE","red.p"
"243","73","44.71153846","15","TRUE","red.p"
"244","74","49.51923077","15","TRUE","red.p"
"245","75","42.78846154","15","TRUE","red.p"
"246","76","45.67307692","15","TRUE","red.p"
"247","77","41.82692308","15","TRUE","red.p"
"248","78","44.71153846","15","TRUE","red.p"
"249","79","45.67307692","15","TRUE","red.p"
"250","80","45.67307692","15","TRUE","red.p"
"251","81","54.32692308","15","TRUE","red.p"
"252","82","49.03846154","15","TRUE","red.p"
"253","83","50.96153846","15","TRUE","red.p"
"254","84","47.11538462","15","TRUE","red.p"
"255","85","47.11538462","15","TRUE","red.p"
"256","86","45.67307692","15","TRUE","red.p"
"257","87","42.78846154","15","TRUE","red.p"
"258","88","44.23076923","15","TRUE","red.p"
"259","89","50.96153846","15","TRUE","red.p"
"260","90","43.75","15","TRUE","red.p"
"261","91","44.71153846","15","TRUE","red.p"
"262","92","45.67307692","15","TRUE","red.p"
"263","93","45.67307692","15","TRUE","red.p"
"264","94","41.82692308","15","TRUE","red.p"
"265","95","38.46153846","15","TRUE","red.p"
"266","96","39.42307692","15","TRUE","red.p"
"267","97","42.30769231","15","TRUE","red.p"
"268","98","44.71153846","15","TRUE","red.p"
"269","99","47.11538462","15","TRUE","red.p"
"270","100","46.63461538","15","TRUE","red.p"
"271","101","43.26923077","15","TRUE","red.p"
"272","102","38.94230769","15","TRUE","red.p"
"273","103","41.82692308","15","TRUE","red.p"
"274","104","40.38461538","15","TRUE","red.p"
"275","105","38.46153846","15","TRUE","red.p"
"276","106","43.75","15","TRUE","red.p"
"277","107","43.26923077","15","TRUE","red.p"
"278","108","42.78846154","15","TRUE","red.p"
"279","109","44.71153846","15","TRUE","red.p"
"280","110","39.90384615","15","TRUE","red.p"
"281","111","38.94230769","15","TRUE","red.p"
"282","112","40.38461538","15","TRUE","red.p"
"283","113","46.63461538","15","TRUE","red.p"
"284","114","37.5","15","TRUE","red.p"
"285","115","42.30769231","15","TRUE","red.p"
"286","116","40.38461538","15","TRUE","red.p"
"287","117","43.75","15","TRUE","red.p"
"288","118","43.75","15","TRUE","red.p"
"289","119","41.34615385","15","TRUE","red.p"
"290","120","44.23076923","15","TRUE","red.p"
"291","121","42.30769231","15","TRUE","red.p"
"292","122","40.38461538","15","TRUE","red.p"
"293","123","35.57692308","15","TRUE","red.p"
"294","124","39.42307692","15","TRUE","red.p"
"295","125","38.94230769","15","TRUE","red.p"
"296","126","43.26923077","15","TRUE","red.p"
"297","127","42.30769231","15","TRUE","red.p"
"298","128","38.94230769","15","TRUE","red.p"
"299","129","39.90384615","15","TRUE","red.p"
"300","130","34.61538462","15","TRUE","red.p"
"301","131","34.61538462","15","TRUE","red.p"
"302","132","37.5","15","TRUE","red.p"
"303","133","38.46153846","15","TRUE","red.p"
"304","134","33.65384615","15","TRUE","red.p"
"305","135","39.90384615","15","TRUE","red.p"
"306","136","35.57692308","15","TRUE","red.p"
"307","137","37.01923077","15","TRUE","red.p"
"308","138","36.53846154","15","TRUE","red.p"
"309","139","36.53846154","15","TRUE","red.p"
"310","140","36.05769231","15","TRUE","red.p"
"311","141","37.98076923","15","TRUE","red.p"
"312","142","36.05769231","15","TRUE","red.p"
"313","143","37.98076923","15","TRUE","red.p"
"314","144","39.90384615","15","TRUE","red.p"
"315","145","32.69230769","15","TRUE","red.p"
"316","146","41.82692308","15","TRUE","red.p"
"317","147","41.34615385","15","TRUE","red.p"
"318","148","42.78846154","15","TRUE","red.p"
"319","149","38.46153846","15","TRUE","red.p"
"320","150","36.53846154","15","TRUE","red.p"
"321","151","41.82692308","15","TRUE","red.p"
"322","152","45.67307692","15","TRUE","red.p"
"323","153","46.15384615","15","TRUE","red.p"
"324","154","39.42307692","15","TRUE","red.p"
"325","155","42.78846154","15","TRUE","red.p"
"326","156","41.82692308","15","TRUE","red.p"
"327","157","44.71153846","15","TRUE","red.p"
"328","158","40.86538462","15","TRUE","red.p"
"329","159","45.19230769","15","TRUE","red.p"
"330","160","49.51923077","15","TRUE","red.p"
"331","161","45.67307692","15","TRUE","red.p"
"332","162","46.63461538","15","TRUE","red.p"
"333","163","46.15384615","15","TRUE","red.p"
"334","164","46.63461538","15","TRUE","red.p"
"335","165","40.38461538","15","TRUE","red.p"
"336","166","40.86538462","15","TRUE","red.p"
"337","167","47.11538462","15","TRUE","red.p"
"338","168","51.44230769","15","TRUE","red.p"
